locus_tag	ftype	length_bp	gene	EC_number	COG	product
ERR2663496_01209	CDS	1014	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
ERR2663496_01210	CDS	216	rpsU		COG0828	30S ribosomal protein S21
ERR2663496_01211	CDS	1746	dnaG	2.7.7.-	COG0358	DNA primase
ERR2663496_01212	CDS	1983	rpoD		COG0568	RNA polymerase sigma factor RpoD
ERR2663496_01213	CDS	507	mug	3.2.2.28	COG3663	G/U mismatch-specific DNA glycosylase
ERR2663496_01214	tRNA	76				tRNA-Met(cat)
ERR2663496_01215	CDS	768	yqjH	1.16.1.9	COG2375	NADPH-dependent ferric-chelate reductase
ERR2663496_01216	CDS	645	yqjI		COG1695	Transcriptional regulator YqjI
ERR2663496_01217	CDS	1569	trg		COG0840	Methyl-accepting chemotaxis protein III
ERR2663496_01218	CDS	1521	aer		COG0840	Aerotaxis receptor
ERR2663496_01219	CDS	1380	patA	2.6.1.82	COG4992	Putrescine aminotransferase
ERR2663496_01220	CDS	1104	fadH_1	1.3.1.34	COG0446	2,4-dienoyl-CoA reductase
ERR2663496_01221	CDS	699	fadH_2	1.3.1.34	COG0446	2,4-dienoyl-CoA reductase
ERR2663496_01222	CDS	198	fadH_3	1.3.1.34	COG0446	2,4-dienoyl-CoA reductase
ERR2663496_01223	CDS	1137	rlmG	2.1.1.174	COG2813	Ribosomal RNA large subunit methyltransferase G
ERR2663496_01224	CDS	498	ygjP	3.6.1.-	COG1451	UTP pyrophosphatase
ERR2663496_01225	CDS	693				hypothetical protein
ERR2663496_01226	CDS	999	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
ERR2663496_01227	CDS	969	alx		COG0861	Putative membrane-bound redox modulator Alx
ERR2663496_01228	CDS	1245	sstT		COG3633	Serine/threonine transporter SstT
ERR2663496_01229	CDS	663	yqjA		COG0586	Inner membrane protein YqjA
ERR2663496_01230	CDS	384	mzrA			Modulator protein MzrA
ERR2663496_01231	CDS	369	yqjC			Protein YqjC
ERR2663496_01232	CDS	306	yqjD		COG4575	putative protein YqjD
ERR2663496_01233	CDS	399	yqjE		COG5393	Inner membrane protein YqjE
ERR2663496_01234	CDS	300				hypothetical protein
ERR2663496_01235	CDS	486	yqjF		COG2259	Inner membrane protein YqjF
ERR2663496_01236	CDS	987	yqjG	1.8.5.7	COG0435	Glutathionyl-hydroquinone reductase YqjG
ERR2663496_01237	CDS	366	yhaH		COG3152	Inner membrane protein YhaH
ERR2663496_01238	CDS	897	yhaJ_2			HTH-type transcriptional regulator YhaJ
ERR2663496_01239	CDS	702	yhaK		COG1741	Pirin-like protein YhaK
ERR2663496_01240	CDS	165				hypothetical protein
ERR2663496_01241	CDS	1311				hypothetical protein
ERR2663496_01242	CDS	546	dlsT_1		COG0814	putative serine transporter
ERR2663496_01243	CDS	603	dlsT_2		COG0814	putative serine transporter
ERR2663496_01244	CDS	177	dlsT_3		COG0814	Serine transporter
ERR2663496_01245	CDS	1365	tdcG	4.3.1.17	COG1760	L-serine dehydratase TdcG
ERR2663496_01246	CDS	2295	tdcE	2.3.1.-	COG1882	PFL-like enzyme TdcE
ERR2663496_01247	CDS	1209	tdcD	2.7.2.15	COG0282	Propionate kinase
ERR2663496_01248	CDS	579	tdcC_1		COG0814	Threonine/serine transporter TdcC
ERR2663496_01249	CDS	786	tdcC_2		COG0814	Threonine/serine transporter TdcC
ERR2663496_01250	CDS	990	tdcB	4.3.1.19	COG1171	L-threonine dehydratase catabolic TdcB
ERR2663496_01251	CDS	939	tsaR			HTH-type transcriptional regulator TsaR
ERR2663496_01252	CDS	1146	garK_1	2.7.1.165	COG1929	Glycerate 2-kinase
ERR2663496_01253	CDS	891	garR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
ERR2663496_01254	CDS	771	garL	4.1.2.20	COG3836	5-keto-4-deoxy-D-glucarate aldolase
ERR2663496_01255	CDS	1572	garD	4.2.1.42	COG2721	Galactarate dehydratase (L-threo-forming)
ERR2663496_01256	CDS	948		2.7.1.101	COG0524	Tagatose kinase
ERR2663496_01257	CDS	834				hypothetical protein
ERR2663496_01258	CDS	855	gatY	4.1.2.40		D-tagatose-1,6-bisphosphate aldolase subunit GatY
ERR2663496_01259	CDS	915	lacC_2	2.7.1.144	COG1105	Tagatose-6-phosphate kinase
ERR2663496_01260	CDS	1428	fruA_2		COG1299	PTS system fructose-specific EIIABC component
ERR2663496_01261	CDS	807				hypothetical protein
ERR2663496_01262	CDS	1002	gatZ_1		COG4573	D-tagatose-1,6-bisphosphate aldolase subunit GatZ
ERR2663496_01263	CDS	261	gatZ_2		COG4573	D-tagatose-1,6-bisphosphate aldolase subunit GatZ
ERR2663496_01264	CDS	465	gatA		COG1762	PTS system galactitol-specific EIIA component
ERR2663496_01265	CDS	285	gatB_2	2.7.1.200	COG3414	PTS system galactitol-specific EIIB component
ERR2663496_01266	CDS	1374	gatC_2		COG3775	PTS system galactitol-specific EIIC component
ERR2663496_01267	CDS	1044	gatD	1.1.1.251	COG1063	Galactitol 1-phosphate 5-dehydrogenase
ERR2663496_01268	CDS	774	srlR_1		COG1349	Glucitol operon repressor
ERR2663496_01269	CDS	864	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
ERR2663496_01270	CDS	2052	lpoA		COG3107	Penicillin-binding protein activator LpoA
ERR2663496_01271	CDS	396				hypothetical protein
ERR2663496_01272	CDS	591	diaA		COG0279	DnaA initiator-associating protein DiaA
ERR2663496_01273	CDS	576	osmY_2		COG2823	Osmotically-inducible protein Y
ERR2663496_01274	CDS	636				hypothetical protein
ERR2663496_01275	CDS	519	yhbO	3.1.2.-	COG0693	Protein/nucleic acid deglycase 2
ERR2663496_01276	CDS	444				hypothetical protein
ERR2663496_01277	CDS	318				hypothetical protein
ERR2663496_01278	CDS	504				hypothetical protein
ERR2663496_01279	CDS	525	ubiJ_1			Ubiquinone biosynthesis accessory factor UbiJ
ERR2663496_01280	CDS	996	yhbU	3.4.-.-	COG0826	putative protease YhbU
ERR2663496_01281	CDS	879				hypothetical protein
ERR2663496_01282	CDS	1008				hypothetical protein
ERR2663496_01283	CDS	1245	mtr		COG0814	Tryptophan-specific transport protein
ERR2663496_01284	CDS	1890	deaD	3.6.4.13	COG0513	ATP-dependent RNA helicase DeaD
ERR2663496_01285	CDS	885	nlpI		COG4785	Lipoprotein NlpI
ERR2663496_01286	CDS	2136	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
ERR2663496_01287	CDS	270	rpsO		COG0184	30S ribosomal protein S15
ERR2663496_01288	CDS	945	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
ERR2663496_01289	CDS	402	rbfA		COG0858	30S ribosome-binding factor
ERR2663496_01290	CDS	2679	infB		COG0532	Translation initiation factor IF-2
ERR2663496_01291	CDS	1503	nusA		COG0195	Transcription termination/antitermination protein NusA
ERR2663496_01292	CDS	453	rimP		COG0779	Ribosome maturation factor RimP
ERR2663496_01293	tRNA	77				tRNA-Met(cat)
ERR2663496_01294	CDS	1344	argG	6.3.4.5	COG0137	Argininosuccinate synthase
ERR2663496_01295	tRNA	87				tRNA-Leu(gag)
ERR2663496_01296	CDS	333	secG		COG1314	Protein-export membrane protein SecG
ERR2663496_01297	CDS	1338	glmM_2	5.4.2.10	COG1109	Phosphoglucosamine mutase
ERR2663496_01298	CDS	849	folP_1	2.5.1.15	COG0294	Dihydropteroate synthase
ERR2663496_01299	CDS	1944	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
ERR2663496_01300	CDS	627	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
ERR2663496_01301	CDS	333	yhbY		COG1534	RNA-binding protein YhbY
ERR2663496_01302	CDS	477	greA		COG0782	Transcription elongation factor GreA
ERR2663496_01303	CDS	102				hypothetical protein
ERR2663496_01304	CDS	1434	dacB	3.4.16.4	COG2027	D-alanyl-D-alanine carboxypeptidase DacB
ERR2663496_01305	CDS	1173	obg	3.6.5.-	COG0536	GTPase Obg
ERR2663496_01306	CDS	966	yhbE		COG0697	putative inner membrane transporter YhbE
ERR2663496_01307	CDS	258	rpmA		COG0211	50S ribosomal protein L27
ERR2663496_01308	CDS	312	rplU		COG0261	50S ribosomal protein L21
ERR2663496_01309	CDS	972	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
ERR2663496_01310	CDS	288				hypothetical protein
ERR2663496_01311	CDS	1260	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
ERR2663496_01312	CDS	294	ibaG		COG5007	Acid stress protein IbaG
ERR2663496_01313	CDS	297	mlaB		COG3113	Intermembrane phospholipid transport system binding protein MlaB
ERR2663496_01314	CDS	636	mlaC		COG2854	Intermembrane phospholipid transport system binding protein MlaC
ERR2663496_01315	CDS	552	mlaD		COG1463	Intermembrane phospholipid transport system binding protein MlaD
ERR2663496_01316	CDS	783	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
ERR2663496_01317	CDS	813	mlaF	3.6.3.-	COG1127	Intermembrane phospholipid transport system ATP-binding protein MlaF
ERR2663496_01318	CDS	978	yrbG		COG0530	Inner membrane protein YrbG
ERR2663496_01319	CDS	987	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
ERR2663496_01320	CDS	567	kdsC	3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
ERR2663496_01321	CDS	576	lptC		COG3117	Lipopolysaccharide export system protein LptC
ERR2663496_01322	CDS	555	lptA		COG1934	Lipopolysaccharide export system protein LptA
ERR2663496_01323	CDS	726	lptB_2	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
ERR2663496_01324	CDS	1434	rpoN		COG1508	RNA polymerase sigma-54 factor
ERR2663496_01325	CDS	288	hpf		COG1544	Ribosome hibernation promoting factor
ERR2663496_01326	CDS	492	ptsN		COG1762	Nitrogen regulatory protein
ERR2663496_01327	CDS	855	rapZ		COG1660	RNase adapter protein RapZ
ERR2663496_01328	CDS	273	ptsO		COG1925	Phosphocarrier protein NPr
ERR2663496_01329	CDS	633	yrbL			putative protein YrbL
ERR2663496_01330	CDS	729	mtgA	2.4.1.129	COG0744	Biosynthetic peptidoglycan transglycosylase
ERR2663496_01331	CDS	654	elbB	4.2.1.-	COG3155	Glyoxalase ElbB
ERR2663496_01332	CDS	2337	arcB	2.7.13.3	COG0642	Aerobic respiration control sensor protein ArcB
ERR2663496_01333	CDS	930				hypothetical protein
ERR2663496_01334	CDS	4461	gltB	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
ERR2663496_01335	CDS	1419	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
ERR2663496_01336	CDS	1104	yhcG	3.1.-.-	COG4804	Putative nuclease YhcG
ERR2663496_01337	CDS	1254	codB		COG1457	Cytosine permease
ERR2663496_01338	CDS	1281	codA	3.5.4.1	COG0402	Cytosine deaminase
ERR2663496_01339	CDS	468	yhcH_2		COG2731	putative protein YhcH
ERR2663496_01340	CDS	876	nanK	2.7.1.60	COG1940	N-acetylmannosamine kinase
ERR2663496_01341	CDS	336	nanE2_1	5.1.3.9	COG3010	Putative N-acetylmannosamine-6-phosphate 2-epimerase 2
ERR2663496_01342	CDS	330	nanE2_2	5.1.3.9	COG3010	Putative N-acetylmannosamine-6-phosphate 2-epimerase 2
ERR2663496_01343	CDS	1491	nanT			Sialic acid transporter NanT
ERR2663496_01344	CDS	894	nanA	4.1.3.3	COG0329	N-acetylneuraminate lyase
ERR2663496_01345	CDS	783	nanR		COG2186	HTH-type transcriptional repressor NanR
ERR2663496_01346	CDS	501	sspB		COG2969	Stringent starvation protein B
ERR2663496_01347	CDS	639	sspA		COG0625	Stringent starvation protein A
ERR2663496_01348	CDS	174				hypothetical protein
ERR2663496_01349	CDS	393	rpsI		COG0103	30S ribosomal protein S9
ERR2663496_01350	CDS	429	rplM		COG0102	50S ribosomal protein L13
ERR2663496_01351	CDS	1125	zapE		COG1485	Cell division protein ZapE
ERR2663496_01352	CDS	399	yhcB		COG3105	Inner membrane protein YhcB
ERR2663496_01353	CDS	1368	degQ	3.4.21.107	COG0265	Periplasmic pH-dependent serine endoprotease DegQ
ERR2663496_01354	CDS	1071	degS	3.4.21.107	COG0265	Serine endoprotease DegS
ERR2663496_01355	CDS	726	citG_1	2.4.2.52		2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
ERR2663496_01356	CDS	1116	elmGT	2.4.1.331		Elloramycin glycosyltransferase ElmGT
ERR2663496_01357	CDS	3657		3.6.3.-		Multidrug efflux ATP-binding/permease protein
ERR2663496_01358	CDS	1245	fes_1		COG2382	Enterochelin esterase
ERR2663496_01359	CDS	918				hypothetical protein
ERR2663496_01360	CDS	2175	pfeA		COG4771	Ferric enterobactin receptor
ERR2663496_01361	CDS	1053	pipB2		COG1357	Secreted effector protein PipB2
ERR2663496_01362	CDS	930				hypothetical protein
ERR2663496_01363	CDS	897				hypothetical protein
ERR2663496_01364	CDS	114				hypothetical protein
ERR2663496_01365	CDS	906	hoxN			High-affinity nickel transport protein
ERR2663496_01366	CDS	1416	qseC_2	2.7.13.3		Sensor protein QseC
ERR2663496_01367	CDS	675	tctD		COG0745	Transcriptional regulatory protein tctD
ERR2663496_01368	CDS	810				hypothetical protein
ERR2663496_01369	CDS	432				hypothetical protein
ERR2663496_01370	CDS	1515				hypothetical protein
ERR2663496_01371	CDS	978	glaH	1.14.11.-		Glutarate 2-hydroxylase
ERR2663496_01372	CDS	1269	lhgD	1.1.5.-	COG0579	L-2-hydroxyglutarate dehydrogenase
ERR2663496_01373	CDS	1449	gabD	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD
ERR2663496_01374	CDS	1284	gabT	2.6.1.19	COG0160	4-aminobutyrate aminotransferase GabT
ERR2663496_01375	CDS	732	gabP_1		COG1113	GABA permease
ERR2663496_01376	CDS	639	gabP_2		COG1113	GABA permease
ERR2663496_01377	CDS	678	glaR		COG1802	HTH-type transcriptional repressor GlaR
ERR2663496_01378	CDS	282	kbp_1		COG1652	Potassium binding protein Kbp
ERR2663496_01379	CDS	96	kbp_2		COG1652	Potassium binding protein Kbp
ERR2663496_01380	CDS	159				hypothetical protein
ERR2663496_01381	CDS	300	ygaV		COG0640	putative HTH-type transcriptional regulator YgaV
ERR2663496_01382	CDS	528	ygaP		COG0607	Inner membrane protein YgaP
ERR2663496_01383	CDS	402	stpA		COG2916	DNA-binding protein StpA
ERR2663496_01384	CDS	450	alaE			L-alanine exporter AlaE
ERR2663496_01385	CDS	351				hypothetical protein
ERR2663496_01386	CDS	327	ygaM		COG4575	putative protein YgaM
ERR2663496_01387	CDS	801	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
ERR2663496_01388	CDS	408				hypothetical protein
ERR2663496_01389	CDS	432				hypothetical protein
ERR2663496_01390	CDS	246	nrdH		COG0695	Glutaredoxin-like protein NrdH
ERR2663496_01391	CDS	411	nrdI		COG1780	Protein NrdI
ERR2663496_01392	CDS	2118	nrdE	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 2 subunit alpha
ERR2663496_01393	CDS	960	nrdF	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 2 subunit beta
ERR2663496_01394	CDS	561	proV_1		COG4175	Glycine betaine/proline betaine transport system ATP-binding protein ProV
ERR2663496_01395	CDS	642	proV_2		COG4175	Glycine betaine/proline betaine transport system ATP-binding protein ProV
ERR2663496_01396	CDS	1065	proW		COG4176	Glycine betaine/proline betaine transport system permease protein ProW
ERR2663496_01397	CDS	996	proX		COG2113	Glycine betaine/proline betaine-binding periplasmic protein
ERR2663496_01398	CDS	1185				putative transporter
ERR2663496_01399	CDS	531	mprA		COG1846	Transcriptional repressor MprA
ERR2663496_01400	CDS	1173	emrA		COG1566	Multidrug export protein EmrA
ERR2663496_01401	CDS	1539	emrB			Multidrug export protein EmrB
ERR2663496_01402	CDS	1371				hypothetical protein
ERR2663496_01403	CDS	516	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
ERR2663496_01404	CDS	1557	gshA	6.3.2.2	COG2918	Glutamate--cysteine ligase
ERR2663496_01405	CDS	426	yqaA		COG1238	Inner membrane protein YqaA
ERR2663496_01406	CDS	567	yqaB	3.1.3.-	COG0637	Fructose-1-phosphate phosphatase YqaB
ERR2663496_01407	tRNA	77				tRNA-Arg(tcg)
ERR2663496_01408	tRNA	77				tRNA-Arg(acg)
ERR2663496_01409	tRNA	77				tRNA-Arg(acg)
ERR2663496_01410	tRNA	77				tRNA-Arg(acg)
ERR2663496_01411	tRNA	78				tRNA-Arg(acg)
ERR2663496_01412	tRNA	93				tRNA-Ser(gct)
ERR2663496_01413	CDS	186	csrA		COG1551	Carbon storage regulator
ERR2663496_01414	CDS	2631	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
ERR2663496_01415	CDS	540	recX		COG2137	Regulatory protein RecX
ERR2663496_01416	CDS	1062	recA_1		COG0468	Protein RecA
ERR2663496_01417	CDS	498	pncC_1	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
ERR2663496_01418	CDS	264				hypothetical protein
ERR2663496_01419	CDS	1080	mltB	4.2.2.-	COG2951	Membrane-bound lytic murein transglycosylase B
ERR2663496_01420	CDS	564	srlA		COG3730	PTS system glucitol/sorbitol-specific EIIC component
ERR2663496_01421	CDS	972	srlE	2.7.1.198	COG3732	PTS system glucitol/sorbitol-specific EIIB component
ERR2663496_01422	CDS	363	srlB		COG3731	PTS system glucitol/sorbitol-specific EIIA component
ERR2663496_01423	CDS	780	srlD	1.1.1.140	COG1028	Sorbitol-6-phosphate 2-dehydrogenase
ERR2663496_01424	CDS	360				hypothetical protein
ERR2663496_01425	CDS	774	srlR_2		COG1349	Glucitol operon repressor
ERR2663496_01426	CDS	966	gutQ	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase GutQ
ERR2663496_01427	CDS	1521	norR_1		COG3604	Anaerobic nitric oxide reductase transcription regulator NorR
ERR2663496_01428	CDS	1440	norV_1		COG0426	Anaerobic nitric oxide reductase flavorubredoxin
ERR2663496_01429	CDS	1134	norW	1.18.1.-	COG1251	Nitric oxide reductase FlRd-NAD(+) reductase
ERR2663496_01430	CDS	2241	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
ERR2663496_01431	CDS	546	hyfA_2	1.-.-.-	COG1142	Hydrogenase-4 component A
ERR2663496_01432	CDS	810				hypothetical protein
ERR2663496_01433	CDS	471	hycI	3.4.23.51	COG0680	Hydrogenase 3 maturation protease
ERR2663496_01434	CDS	411				hypothetical protein
ERR2663496_01435	CDS	768	hycG		COG3260	Formate hydrogenlyase subunit 7
ERR2663496_01436	CDS	543	ndhI	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
ERR2663496_01437	CDS	1710	hycE		COG3261	Formate hydrogenlyase subunit 5
ERR2663496_01438	CDS	924	hycD		COG0650	Formate hydrogenlyase subunit 4
ERR2663496_01439	CDS	1827	hyfB	1.-.-.-	COG0651	Hydrogenase-4 component B
ERR2663496_01440	CDS	609	hyfA_3	1.-.-.-	COG1142	Hydrogenase-4 component A
ERR2663496_01441	CDS	462	hycA			Formate hydrogenlyase regulatory protein HycA
ERR2663496_01442	CDS	357	hypA		COG0375	Hydrogenase maturation factor HypA
ERR2663496_01443	CDS	873	hypB		COG0378	Hydrogenase maturation factor HypB
ERR2663496_01444	CDS	273	hypC		COG0298	Hydrogenase maturation factor HypC
ERR2663496_01445	CDS	1122	hypD		COG0409	Hydrogenase maturation factor HypD
ERR2663496_01446	CDS	1011	hypE	4.2.1.-	COG0309	Carbamoyl dehydratase HypE
ERR2663496_01447	CDS	2079	fhlA		COG3604	Formate hydrogenlyase transcriptional activator
ERR2663496_01448	CDS	345				hypothetical protein
ERR2663496_01449	CDS	918			COG0803	putative periplasmic iron-binding protein
ERR2663496_01450	CDS	822	mntB_1		COG1121	Manganese transport system ATP-binding protein MntB
ERR2663496_01451	CDS	861	mntB_2			Manganese transport system membrane protein MntB
ERR2663496_01452	CDS	849	mntB_3			Manganese transport system membrane protein MntB
ERR2663496_01453	CDS	756				hypothetical protein
ERR2663496_01454	CDS	888	rhaR_2			HTH-type transcriptional activator RhaR
ERR2663496_01455	CDS	453				hypothetical protein
ERR2663496_01456	CDS	672	orgB			Oxygen-regulated invasion protein OrgB
ERR2663496_01457	CDS	579	orgA			Oxygen-regulated invasion protein OrgA
ERR2663496_01458	CDS	759	prgK		COG4669	Lipoprotein PrgK
ERR2663496_01459	CDS	306				hypothetical protein
ERR2663496_01460	CDS	243	prgI			Protein PrgI
ERR2663496_01461	CDS	1236	prgH			Protein PrgH
ERR2663496_01462	CDS	930	rhaR_3			HTH-type transcriptional activator RhaR
ERR2663496_01463	CDS	1662	hilA		COG0457	Transcriptional regulator HilA
ERR2663496_01464	CDS	483				hypothetical protein
ERR2663496_01465	CDS	1068	sptP_1			Secreted effector protein SptP
ERR2663496_01466	CDS	555	sptP_2			Secreted effector protein SptP
ERR2663496_01467	CDS	393	sicP			Chaperone protein sicP
ERR2663496_01468	CDS	261				hypothetical protein
ERR2663496_01469	CDS	249	acpP_1		COG0236	Acyl carrier protein
ERR2663496_01470	CDS	2058	sipA			Cell invasion protein SipA
ERR2663496_01471	CDS	1023	sipD			Cell invasion protein SipD
ERR2663496_01472	CDS	1230	sipC			Cell invasion protein SipC
ERR2663496_01473	CDS	1782	sipB			Cell invasion protein SipB
ERR2663496_01474	CDS	498	sicA		COG0457	Chaperone protein SicA
ERR2663496_01475	CDS	1071	spaS		COG1377	Surface presentation of antigens protein SpaS
ERR2663496_01476	CDS	792	spaR_1		COG4791	Surface presentation of antigens protein SpaR
ERR2663496_01477	CDS	261	spaQ_1		COG4794	Surface presentation of antigens protein SpaQ
ERR2663496_01478	CDS	675	spaP_1		COG4790	Surface presentation of antigens protein SpaP
ERR2663496_01479	CDS	912	spaO		COG1886	Surface presentation of antigens protein SpaO
ERR2663496_01480	CDS	1011				hypothetical protein
ERR2663496_01481	CDS	444				hypothetical protein
ERR2663496_01482	CDS	1296	spaL	7.1.2.2	COG1157	putative ATP synthase SpaL
ERR2663496_01483	CDS	408	spaK			Surface presentation of antigens protein SpaK
ERR2663496_01484	CDS	2058	invA		COG4789	Invasion protein InvA
ERR2663496_01485	CDS	1119	mxiC			Protein MxiC
ERR2663496_01486	CDS	1689	sctC_1		COG1450	Type 3 secretion system secretin
ERR2663496_01487	CDS	750	invF			Invasion protein InvF
ERR2663496_01488	CDS	444	invH			Type 3 secretion system pilotin
ERR2663496_01489	CDS	282				hypothetical protein
ERR2663496_01490	CDS	528				hypothetical protein
ERR2663496_01491	CDS	147				hypothetical protein
ERR2663496_01492	CDS	657	pphB	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 2
ERR2663496_01493	CDS	2568	mutS		COG0249	DNA mismatch repair protein MutS
ERR2663496_01494	CDS	267				hypothetical protein
ERR2663496_01495	CDS	90				hypothetical protein
ERR2663496_01496	CDS	1209	jefA			Drug efflux pump JefA
ERR2663496_01497	CDS	912	dmlR_2			HTH-type transcriptional regulator DmlR
ERR2663496_01498	CDS	1497	gntT_2		COG2610	High-affinity gluconate transporter
ERR2663496_01499	CDS	951	denD	1.1.1.410	COG0451	D-erythronate dehydrogenase
ERR2663496_01500	CDS	777	otnI	5.3.1.35	COG3622	2-oxo-tetronate isomerase
ERR2663496_01501	CDS	639	otnC	4.1.1.104		3-oxo-tetronate 4-phosphate decarboxylase
ERR2663496_01502	CDS	822	otnK	2.7.1.217	COG3395	3-oxo-tetronate kinase
ERR2663496_01503	CDS	420	ltnD	1.1.1.411		L-threonate dehydrogenase
ERR2663496_01504	CDS	765	glcR_1		COG1349	HTH-type transcriptional repressor GlcR
ERR2663496_01505	CDS	405	hosA			Transcriptional regulator HosA
ERR2663496_01506	CDS	594	ecdB	2.5.1.129	COG0163	putative UbiX-like flavin prenyltransferase
ERR2663496_01507	CDS	1428	edcC	4.1.1.61	COG0043	Phenolic acid decarboxylase
ERR2663496_01508	CDS	237	vdcD			Protein VdcD
ERR2663496_01509	CDS	993	rpoS			RNA polymerase sigma factor RpoS
ERR2663496_01510	CDS	1122	nlpD_1			Murein hydrolase activator NlpD
ERR2663496_01511	CDS	627	pcm	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
ERR2663496_01512	CDS	762	surE	3.1.3.5	COG0496	5'/3'-nucleotidase SurE
ERR2663496_01513	CDS	1050	truD	5.4.99.27	COG0585	tRNA pseudouridine synthase D
ERR2663496_01514	CDS	480	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
ERR2663496_01515	CDS	711	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
ERR2663496_01516	CDS	312	ftsB		COG2919	Cell division protein FtsB
ERR2663496_01517	CDS	324	ygbE			Inner membrane protein YgbE
ERR2663496_01518	CDS	606	cysC	2.7.1.25	COG0529	Adenylyl-sulfate kinase
ERR2663496_01519	CDS	1440	cysN	2.7.7.4	COG2895	Sulfate adenylyltransferase subunit 1
ERR2663496_01520	CDS	909	cysD	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
ERR2663496_01521	CDS	1047				hypothetical protein
	repeat_region	395				
ERR2663496_01522	CDS	294	ygbF	3.1.-.-		CRISPR-associated endoribonuclease Cas2
ERR2663496_01523	CDS	918	ygbT	3.1.-.-	COG1518	CRISPR-associated endonuclease Cas1
ERR2663496_01524	CDS	705				hypothetical protein
ERR2663496_01525	CDS	726				hypothetical protein
ERR2663496_01526	CDS	1059	casC			CRISPR system Cascade subunit CasC
ERR2663496_01527	CDS	603				hypothetical protein
ERR2663496_01528	CDS	1536				hypothetical protein
ERR2663496_01529	CDS	174				hypothetical protein
ERR2663496_01530	CDS	2208	ygcB	3.1.-.-	COG1203	CRISPR-associated endonuclease/helicase Cas3
ERR2663496_01531	CDS	954	sopD			Secreted effector protein SopD
ERR2663496_01532	CDS	735	cysH_1	1.8.4.8	COG0175	Phosphoadenosine phosphosulfate reductase
ERR2663496_01533	CDS	1713	cysI	1.8.1.2	COG0155	Sulfite reductase [NADPH] hemoprotein beta-component
ERR2663496_01534	CDS	1800	cysJ	1.8.1.2	COG0369	Sulfite reductase [NADPH] flavoprotein alpha-component
ERR2663496_01535	CDS	363	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
ERR2663496_01536	CDS	798				hypothetical protein
ERR2663496_01537	CDS	672	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
ERR2663496_01538	CDS	1299	eno	4.2.1.11	COG0148	Enolase
ERR2663496_01539	CDS	1638	pyrG	6.3.4.2	COG0504	CTP synthase
ERR2663496_01540	CDS	801	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
ERR2663496_01541	CDS	264	mrpA		COG3539	Major MR/P fimbria protein
ERR2663496_01542	CDS	309				hypothetical protein
ERR2663496_01543	CDS	2646	papC_1		COG3188	Outer membrane usher protein PapC
ERR2663496_01544	CDS	774	yfcS		COG3121	putative fimbrial chaperone YfcS
ERR2663496_01545	CDS	501	yfcR			putative fimbrial-like protein YfcR
ERR2663496_01546	CDS	486	yfcQ			putative fimbrial-like protein YfcQ
ERR2663496_01547	CDS	492	yfcP			putative fimbrial-like protein YfcP
ERR2663496_01548	CDS	1119				hypothetical protein
ERR2663496_01549	CDS	138				hypothetical protein
ERR2663496_01550	CDS	222				hypothetical protein
ERR2663496_01551	CDS	288				hypothetical protein
